sentence,label
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear,0
This is a VERY average phone with bad battery life that operates on a weak network,0
Soyo technology sucks,0
Same problem as others have mentioned,0
The worst piece of crap ever along with the Verizon customer service,0
Poor sound quality,0
"The picture resolution is far below what other comparably,priced phones are offering today",0
"Using all earpieces , left or right , this thing will not stay on my ear",0
Still Waiting I 'm sure this item would work well if I ever recieve it,0
what a disappointment,0
do n't waste your money and time,0
"It 's so stupid to have to keep buying new chargers , car chargers , cradles , headphones and car kits every time a new phone comes out",0
I came over from Verizon because cingulair has nicer cell phones the first thing I noticed was the really bad service,0
I 'll be looking for a new earpiece,0
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week but still lasts longer than thereplacement,0
After a year the battery went completely dead on my headset,0
This is the first phone I 've had that has been so cheaply made,0
"Att is not clear , sound is very distorted and you have to yell when you talk",0
The plastic breaks really easy on this clip,0
Do n't make the same mistake I did,0
Oh and I forgot to also mention the weird color effect it has on your phone,0
Also the area where my unit broke I 'm not too fond of the magnetic strap,0
"Another note about this phone 's appearance is that it really looks rather bland , especially in the all black model",0
Low Quality,0
"Warning , Stay away",0
I wish I could return the unit and get back my money,0
I used to talk on it for 10 hours and the battery would be literally drained and dying,0
"If you do n't find it , too bad , as again the unit comes with one earpad onlyI would not recommend this to anyone",0
Very Displeased,0
"I might have gotten a defect , but I would not risk buying it again because of the built quality alone",0
They made this case too small and is very difficult to install,0
Does not fit,0
There 's really nothing bad I can say about this headset,0
I even fully charged it before I went to bed and turned off blue tooth and wifi and noticed that it only had 20 percent left in the morning,0
I 've also had problems with the phone reading the memory card in which I always turn it on and then off again,0
Not good when wearing a hat or sunglasses,0
Horrible phone,0
BT50 battery junk,0
Cant get the software to work with my computer,0
Disappointed,0
poor voice clarity,0
No buyers remorse on this one,0
Very disappointed in Accessory One,0
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers,0
The update procedure is difficult and cumbersome,0
Disappointment I hate anything that goes in my ear,0
"Uncomfortable In the Ear , Do n't use with LG VX9900 EnV",0
The volume switch rocketed out of the unit to a destination unknown,0
I 'd like to return it,0
"Verizon 's bills , however , are difficult to understand even though their pricing plans are simple",0
A Disappointment,0
It 's not user friendly,0
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,0
"Then I exchanged for the same phone , even that had the same problem",0
This results in the phone being either stuck at max volume or mute,0
Pretty piece of junk,0
Plug was the wrong size,0
Save your money I 've had this item for 11 months now,0
Bad Purchase,0
Defective crap,0
I would have given no star if I was able,0
"The sound quality for the device is unacceptableUnless you are in a really quiet area , you almost hear nothing",0
I would not recommend this item to anyone,0
The holster that arrived did not match the photo in the ad,0
"As an earlier review noted , plug in this charger and nothing happens",0
You never know if you pushed it hard enough or the right number of times for the function you want or not,0
I am not impressed with this and i would not recommend this item to anyone,0
My only complaint is the standard sound volume is a little low even when turned up to 5of 5,0
REALLY UGLY,0
"horrible , had to switch 3 times",0
No real improvement,0
They refuse to refund or replace,0
"Unfortunately it 's easy to accidentally activate them with the gentle,touch buttons if you accidentally touch the phone to your face while listening",0
So I basically threw my money out the window for nothing,0
All it took was one drop from about 6 inches above the kitchen counter and it was crackedI am not impressed and I am not laughing,0
none of the new ones have ever quite worked properly,0
I 've missed numerous calls because of this reason,0
"Perhaps my phone is defective , but people cannot hear me when I use this",0
Do n't buy this product,0
"sucked , most of the stuff does not work with my phone",0
Worst software ever used If I could give this zero stars I would,0
Trying to make a call on these is an exercise in frustration,0
The case is a flimsy piece of plastic and has no front or side protection whatsoever,0
I give Wirefly 1 starI will contact Cingular and inform them of this practice,0
It 's AGGRAVATING,0
"None of it works , just do n't buy it",0
"Muddy , low quality sound , and the casing around the wire 's insert was poorly super glued and slid off",0
Please dont waste your money,0
"If you are looking for a good quality Motorola Headset keep looking , this is n't it",0
Yet Plantronincs continues to use the same flawed charger design,0
Disapointing Results,0
Cumbersome design,0
It 's A PIECE OF CRAP,0
"My experience was terrible This was my fourth bluetooth headset , and while it was much more comfortable than my last Jabra which I HATED",0
Worst ever,0
I can barely ever hear on it and am constantly saying what,0
The battery life is highly unacceptable,0
That company is a joke,0
Due to this happening on every call I was forced to stop using this headset,0
"Verizon tech support walked my through a few procedures , none of which worked and I ended up having to do a hard re,set , wiping out all my data",0
"Voice Quality , Signal Strength , Dropped Calls",0
"It feels poorly constructed , the menus are difficult to navigate , and the buttons are so recessed that it is difficult to push them",0
Also difficult to put onI 'd recommend avoiding this product,0
"I only used it two days , and it was n't always easy to hear with",0
I got the car charger and not even after a week the charger was brokenI went to plug it in and it started smoking,0
"Sprint , terrible customer service",0
"What possesed me to get this junk , I have no idea",0
Piece of trash,0
"The real killer is the volume , and of course it breaking",0
Poor Construction,0
This is infuriating,0
Sprint charges for this service,0
"It is cheap , and it feel and look just as cheap",0
It does n't work in Europe or Asia,0
the worst phone from samsungcrap this crappy Samsung is the worst i have ever seeen,0
the charger worked for about a week and then completely stopped charging my phone,0
Poor product,0
However I needed some better instructions,0
You need two hands to operate the screenThis software interface is decade old and cannot compete with new software designs,0
"Steer clear of this product and go with the genuine Palm replacementr pens , which come in a three,pack",0
DO NOT BUY DO NOT BUYIT SUCKS,0
"Plus , I seriously do not believe it is worth its steep price point",0
Very Dissapointing Performance,0
Do n't make the same mistake that I did and please do n't buy this phone,0
This phone might well be the worst I 've ever had in any brand,0
Case was more or less an extra that I originally put on but later discarded because it scratched my ear,0
Do n't bother go to the store,0
You get what you pay for I guess,0
"However , BT headsets are currently not good for real time games like first person shooters since the audio delay messes me up",0
Disappointing accessory from a good manufacturer,0
"Performed awful muffled , tinny incoming sound and severe echo for those on the other end of the call",0
"Obviously they have a terrible customer service , so you get what you pay for",0
"I contacted the company and they told me that , although the unit was still under warranty , if I could n't produce my receipt I was out of luck",0
Linksys should have some way to exchange a bad phone for a refurb unit or something,0
"When I placed my treo into the case , not only was it NOT snug , but there was A LOT of extra room on the sides",0
Battery is terrible,0
The earpiece on this is too large or too heavyit keeps falling out of my ear,0
Utter crap Sound quality is TERRIBLE,0
"The charger arrived within the promised timeframe , but it did not work",0
"Finally , after three or four times the spring of the latch broke and I could not use it any longer on the visor",0
Talk about USELESS customer service,0
It felt too light and tinny,0
This does not fit the Palm Tungsten and it broke the first time I tried to plug it in,0
I could not recommend these more,0
"Looks good in the picture , but this case was a huge disappointment",0
its extremely slow and takes forever to do anything with it,0
A must study for anyone interested in the worst sins of industrial design,0
The first thing that happened was that the tracking was off,0
Then I had to continue pairing it periodically since it somehow kept dropping,0
Can not upload ringtones from a third party,0
"Bluetooth does not work , phone locks up , screens just flash up and now it just makes calls randomly while in my pocket locked",0
Truly awful,0
And none of the tones is acceptable,0
camera color balance is AWFUL,0
"This product is clearly not ready for prime time , I do n't care how cool it looks , if you can not tell a call is coming in it 's worthless",0
Chinese Forgeries Abound,0
The instructions did n't explain that a microphone jack could be used,0
i would advise to not purchase this item it never worked very well,0
Too bad you have to pay up to money a month for the service,0
The nokia USB cable did not work with my phone,0
"The biggest complaint I have is , the battery drains superfast",0
The design might be ergonomic in theory but I could not stand having these in my ear,0
Do NOT buy if you want to use the holster,0
It does n't make you look cool,0
"Also , the phone does n't seem to accept anything except CBR mp3s , preferably ripped by Windows Media Player",0
So just beware,0
So anyone near you will hear part of your conversation,0
I bought this phone as a replacement for my StarTac and have regretted it since,0
Can not store anything but phone numbers to SIM,0
"It lasts less than 3o minutes , if I actually try to use the phoneMy wife has the same phone with the same problem",0
Poor quality,0
Not worth it,0
The phone crashed completely and now I have to get it replaced,0
"Unfortunately it will not recharge my iPhone 4s , despite connecting it from multiple power sources iMac , external battery , wall outlet , etc",0
if you simply want a small flip phone look elsewhere as the extra bells and whistles are mediocre,0
Think it over when you plan to own this oneThis sure is the last MOTO phone for me,0
After receiving and using the product for just 2 days it broke,0
None of the three sizes they sent with the headset would stay in my ears,0
We have tried 2 units and they both failed within 2 months Pros,0
"Could n't use the unit with sunglasses , not good in Texas",0
It dit not work most of the time with my Nokia 5320,0
"Bought mainly for the charger , which broke soon after purchasing",0
"If you like a loud buzzing to override all your conversations , then this phone is for you",0
"stay away from this store , be careful",0
Does not fit,0
disappointing,0
The camera on the phone may be used as a dustpan when indoors I 'd rather be using a disposable then this,0
Then a few days later the a puff of smoke came out of the phone while in use,0
The nano stated itMy son was dissapointed,0
Would not reccommend,0
This particular model would not work with my Motorola Q smartphone,0
wont work right or atleast for me,0
"in addition it feels lamp , looks as if the phone is all lightweight cheap plastic",0
But now that it is out of warranty the same problems reoccure Bottom line put your money somewhere else Cingular will not support it,0
"I really wanted the Plantronics 510 to be the right one , but it has too many issues for meThe good",0
AFter the first charge kept going dead after 12 minutes,0
"VERY cheap plastic , creaks like an old wooden floor",0
"I get absolutely horrible reception in my apartment , where with other phones I have not had this problem",0
"After my phone got to be about a year old , it 's been slowly breaking despite much care on my part",0
I am sorry I made this purchase,0
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear,0
Treo and T Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,0
It was horrible,0
I do n't think it would hold it too securly on your belt,0
This allows the possibility of double booking for the same date and time after the first,0
They work about 2 weeks then break,0
I can not use this case because the smell is disgusting,0
NOT WHAT I WANTED,0
"The internet access was fine , it the rare instance that it worked",0
50 dollar Down the drain,0
I tried talking real loud but shouting on the telephone gets old and I was still told it was n't great,0
"If there is a wind , it is completely useless",0
Does Not Work,0
"At first I thought I was grtting a good deal at 744 dollar , until I plugged it into my phone V3c Razr",0
Improper description I had to return it,0
Battery has no life,0
I checked everywhere and there is no feature for it which is really disappointing,0
Does n't do the job,0
Awkward to use and unreliable,0
Not as good as I had hoped,0
Does n't Work,0
Unfortunately it did not work,0
All three broke within two months of use,0
dont buy it,0
"My father has the V265 , and the battery is dying",0
"However , the ear pads come off easily and after only one week I lost one",0
"The calls drop , the phone comes on and off at will , the screen goes black and the worst of all it stops ringing intermittently",0
"Horrible , horrible protector",0
I do n't like this Nokia either,0
"Reaching for the bottom row is uncomfortable , and the send and end keys are not where I expect them to be3",0
I have bought this Nokia cell phone a few weeks ago and it was a nightmare,0
It would take too long to describe how bad my customer service experience has been with Amazon,0
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE,0
Terrible My car will not accept this cassette,0
"Product is useless , since it does not have enough charging current to charge the 2 cellphones I was planning to use it with",0
It 's not what it says it is,0
Stay Away From the Q,0
Used and dirty,0
"Very unreliable service from T,mobile ",0
Not good enough for the price,0
I bought two of them and neither will charge,0
These products cover up the important light sensor above the ear outlet,0
Just does not work,0
Poor Reliability,0
"If I take a picture , the battery drops a bar , and starts beeping , letting me know its dieing",0
"Terrible product , and waste of money",0
Last time buying from you,0
It was a waste of my money,0
The item received was Counterfeit,0
This is by far the worst purchase I 've made on Amazon,0
Does not work for listening to music with the cingular 8125,0
"The bottowm lineanother worthless , cheap gimmick from Sprint",0
Having trouble with volume,0
WARNING . DO NOT BUY,0
"When it opens , the battery connection is broken and the device is turned off",0
"I did n't want the clip going over the top of my ear , causing discomfort",0
Do n't trust their website and do n't expect any helpful support,0
The speaker is of low quality so as making the ring tones sound very cheap,0
Bad Reception,0
This product is very High quality Chinese CRAP,0
Do n't buy this product . It fails,0
Everything about this product is wrongFirst,0
"This was utterly confusing at first , which caused me to lose a couple of very , very important contacts",0
Terrible phone holder,0
Problem is that the ear loops are made of weak material and break easily,0
Not nearly as good looking as the AMAZON picture makes it look,0
How stupid is that,0
It always cuts out and makes a beep beep beep sound then says signal failed,0
Could n't figure it out,0
"My phone sounded OK  not great . OK , but my wife 's phone was almost totally unintelligible , she could n't understand a word being said on it",0
So I had to take the battery out of the phone put it all back together and then restart it,0
"While I managed to bend the leaf spring back in place , the metal now has enough stress that it will break on the next drop",0
"Saggy , floppy piece of junk",0
It also had a new problem,0
It looses connection to the phone even when it is within a couple feet between the two,0
Makes it easier to keep up with my bluetooth when I 'm not wearing it,0
As I said abovePRETTY USELESS,0
Never got it,0
"This pair of headphones is the worst that I have ever had sound,wise",0
We down the drain because of a weak snap,0
Does not charge the Cingular ATT 8525 phone,0
"However , after about a year , the fliptop started to get loose and wobbly and eventually my screen went black and I could n't receive and place calls",0
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off,0
"The mic there is a joke , and the volume is quite low",0
I 'm returning them,0
I does not maintain a connection with the computer while it is on my lap,0
I had to purchase a different case,0
Very much disappointed with this company,0
It did n't charge for me,0
Buttons are too small,0
"However , the keypads are so tinny that I sometimes reach the wrong buttons",0
I cannot make calls at certain places,0
"however , my girl was complain that some time the phone does n't wake up like normal phone does",0
This company charge me a restocking fee and still not given me my refund back,0
I 'm trying to return it for a refund,0
I plugged it in only to find out not a darn thing worked,0
Earbud piece breaks easily,0
Lousy product,0
This phone tries very hard to do everything but fails at it 's very ability to be a phone,0
Not enough volume,0
Echo ProblemVery unsatisfactory,0
you could only take 2 videos at a time and the quality was very poor,0
do n't waste your money,0
I am going to have to be the first to negatively review this product,0
Adapter does not provide enough charging current,0
"There was so much hype over this phone that I assumed it was the best , my mistake",0
You also cannot take pictures with it in the case because the lense is covered,0
Phone falls out easily,0
"It did n't work , people can not hear me when I talk",0
The text messaging feature is really tricky to use,0
I 'm really disappointed all I have now is a charger that does n't work,0
Painful on the ear,0
Lasted one day and then blew up,0
disappointed,0
Kind of flops around,0
The screen does get smudged easily because it touches your ear and face,0
What a piece of junk I lose more calls on this phone,0
Item Does Not Match Picture,0
The only thing that disappoint me is the infra red port irda,0
"You can not answer calls with the unit , never worked once",0
Crust is not good,0
Not tasty and the texture was just nasty,0
Now I am getting angry and I want my damn pho,0
Honeslty it did n't taste THAT fresh,0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0
Would not go back,0
The cashier had no care what so ever on what I had to say it still ended up being way overpriced,0
I was disgusted because I was pretty sure that was human hair,0
I was shocked because no signs indicate cash only,0
Waitress was a little slow in service,0
"This place is not worth your time , let alone Vegas",0
did not like at all,0
The Burrittos Blah,0
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm , Our sever was running around like he was totally overwhelmed",0
The worst was the salmon sashimi,0
This was like the final blow,0
"seems like a good quick place to grab a bite of some familiar pub food , but do yourself a favor and look elsewhere",0
"Poor service , the waiter made me feel like I was stupid every time he came to the table",0
Service sucks,0
There is not a deal good enough that would drag me into that establishment again,0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and did n't want to eat it for fear of getting sick,0
"Frozen pucks of disgust , with some of the worst people behind the register",0
It 's too bad the food is so damn generic,0
"They have horrible attitudes towards customers , and talk down to each one when customers do n't enjoy their food",0
The Heart Attack Grill in downtown Vegas is an absolutely flatlined excuse for a restaurant,0
Not much seafood and like 5 strings of pasta at the bottom,0
"The ripped banana was not only ripped , but petrified and tasteless",0
At least think to refill my water before I struggle to wave you over for 10 minutes,0
We got the food and apparently they have never heard of salt and the batter on the fish was chewy,0
The service was meh,0
"It took over 30 min to get their milkshake , which was nothing more than chocolate milk",0
"I guess I should have known that this place would suck , because it is inside of the Excalibur , but I did n't use my common sense",0
The scallop dish is quite appalling for value as well,0
"2 times , Very Bad Customer Service ",0
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company,0
Coming here is like experiencing an underwhelming relationship where both parties can not wait for the other person to ask to break up,0
walked in and the place smelled like an old grease trap and only 2 others there eating,0
The turkey and roast beef were bland,0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,0
The poor batter to meat ratio made the chicken tenders very unsatisfying,0
"In summary , this was a largely disappointing dining experience",0
"Never been to Hard Rock Casino before , WILL NEVER EVER STEP FORWARD IN IT AGAIN",0
say bye bye to your tip lady,0
We 'll never go again,0
It was not good,0
"REAL sushi lovers , let 's be honest . Yama is not that good",0
"At least 40 minutes passed in between us ordering and the food arriving , and it was n't that busy",0
It was pretty gross,0
I 've had better atmosphere,0
Kind of hard to mess up a steak but they did,0
"Although I very much liked the look and sound of this place , the actual experience was a bit disappointing",0
I just do n't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine,0
"Worst service to boot , but that is the least of their worries",0
"Host staff were , for lack of a better word , BITCHES",0
Bland Not a liking this place for a number of reasons and I do n't want to waste time on bad reviewing I 'll leave it at that,0
I would n't return,0
This place is way too overpriced for mediocre food,0
The management is rude,0
"He was extremely rude and really , there are so many other restaurants I would love to dine at during a weekend in Vegas",0
Do n't do it,0
The waiter was n't helpful or friendly and rarely checked on us,0
My husband and I ate lunch here and were very disappointed with the food and service,0
And the red curry had so much bamboo shoots and was n't very tasty to me,0
"The menu is always changing , food quality is going down and service is extremely slow",0
"The service was a little slow  , considering that were served by 3 people servers so the food was coming in a slow pace",0
I give it 2 thumbs down,0
We watched our waiter pay a lot more attention to other tables and ignore us,0
We waited for forty five minutes in vain,0
Crostini that came with the salad was stale,0
"Unfortunately , we must have hit the bakery on leftover day because everything we ordered was STALE",0
I came back today since they relocated and still not impressed,0
Avoid at all cost,0
So do n't go there if you are looking for good food,0
I 've never been treated so bad,0
"We also ordered the spinach and avocado salad , the ingredients were sad and the dressing literally had zero taste",0
"Perhaps I caught them on an off night judging by the other reviews , but I 'm not inspired to go back",0
The service here leaves a lot to be desired,0
We literally sat there for 20 minutes with no one asking to take our order,0
"The burger had absolutely no flavor , the meat itself was totally bland , the burger was overcooked and there was no charcoal flavor",0
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,0
I dressed up to be treated so rudely,0
It was probably dirt,0
"The food sucked , which we expected but it sucked more than we could have imagined",0
"When my order arrived , one of the gyros was missing",0
I 'm not really sure how Joey 's was voted best hot dog in the Valley by readers of Phoenix Magazine,0
The live music on Fridays totally blows,0
I 've never been more insulted or felt disrespected,0
The warm beer did n't help,0
I 've lived here since 1979 and this was the first and last time I 've stepped foot into this place,0
The WORST EXPERIENCE EVER,0
Must have been an off night at this place,0
"If that bug never showed up I would have given a 4 for sure , but on the other side of the wall where this bug was climbing was the kitchen",0
"For about 10 minutes , we we 're waiting for her salad when we realized that it was n't coming any time soon",0
will not go back,0
Soggy and not good,0
Which are small and not worth the price,0
"The shower area is outside so you can only rinse , not take a full shower , unless you do n't mind being nude for everyone to see",0
The service was a bit lacking,0
"Lobster Bisque , Bussell Sprouts , Risotto , Filet ALL needed salt and pepperand of course there is none at the tables",0
Hopefully this bodes for them going out of business and someone who can cook can come in,0
"It was either too cold , not enough flavor or just bad",0
"As for the mains , also uninspired",0
"If the food is n't bad enough for you , then enjoy dealing with the world 's worst or annoying drunk people",0
"Ordered a double cheeseburger and got a single patty that was falling apart picture uploaded Yeah , still sucks",0
"If it were possible to give them zero stars , they 'd have it",0
"The descriptions said yum yum sauce and another said eel sauce , yet another said spicy mayo well NONE of the rolls had sauces on them",0
If she had not rolled the eyes we may have stayed Not sure if we will go back and try it again,0
"Horrible , do n't waste your time and money",0
By this time our side of the restaurant was almost empty so there was no excuse,0
"It was n't busy either Also , the building was FREEZING cold",0
like the other reviewer said you could n't pay me to eat at this place again ,0
Drinks took close to 30 minutes to come out at one point,0
"Based on the sub,par service I received and no effort to show their gratitude for my business I will not be going back",0
There is nothing privileged about working or eating there,0
"Overall , I do n't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too",0
I as well would 've given godfathers zero stars if possible,0
very tough and very short on flavor,0
"I have been in more than a few bars in Vegas , and do not ever recall being charged for tap water",0
"The service was not up to par , either",0
"For a self proclaimed coffee cafe , I was wildly disappointed",0
"I 've had better , not only from dedicated boba tea spots , but even from Jenni Pho",0
I think not again,0
I had the mac salad and it was pretty bland so I will not be getting that again,0
Service stinks here,0
I waited and waited,0
"This place is not quality sushi , it is not a quality restaurant",0
"Things that went wrong , They burned the saganaki",0
We waited an hour for what was a breakfast I could have done 100 times better at home,0
"I hate to disagree with my fellow Yelpers , but my husband and I were so disappointed with this place",0
Waited 2 hours and never got either of our pizzas as many other around us who came in later did,0
Just do n't know why they were so slow,0
"I live in the neighborhood so I am disappointed I will not be back here , because it is a convenient location",0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review,0
Never again will I be dining at this place,0
Please stay away from the shrimp stir fried noodles,0
The potato chip order was sad I could probably count how many chips were in that box and it was probably around 12,0
Food was really boring,0
This greedy corporation will NEVER see another dime from me,0
"Will never , ever go back",0
"As much as I 'd like to go back , I can not get passed the atrocious service and will never return",0
